,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
865,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Fairly active,8.4,%,18371,1542,9.10%,7.70%,9255
866,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Fairly active,7.5,%,1381,104,10.50%,5.30%,677
867,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Fairly active,13.3,%,3438,456,15.90%,11.00%,1155
868,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Fairly active,15.3,%,1075,164,20.10%,11.40%,404
869,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Fairly active,?,%,?,?,?,?,147
870,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Fairly active,9.4,%,1167,110,13.70%,6.40%,478
871,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-24,All,Fairly active,?,%,?,?,?,?,141
872,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,12.2,%,32346,3952,12.80%,11.70%,24414
873,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,12.2,%,21717,2648,12.90%,11.50%,17551
874,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,11,%,3525,387,12.90%,9.40%,2604
875,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,13.6,%,3257,443,15.80%,11.60%,1792
876,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,12.6,%,794,100,17.60%,8.90%,456
877,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,10.2,%,490,50,14.70%,7.00%,290
878,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,11.6,%,850,99,15.60%,8.50%,538
879,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,25-34,All,Fairly active,10.5,%,499,52,15.20%,7.10%,278
880,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,12.9,%,30049,3879,13.40%,12.40%,30799
881,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,12.7,%,20556,2601,13.30%,12.10%,22286
882,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,12.2,%,2882,351,13.90%,10.60%,2958
883,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,14.3,%,3297,472,16.30%,12.50%,2506
884,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,14.7,%,869,128,18.60%,11.50%,711
885,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,14.4,%,306,44,20.50%,9.90%,287
886,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,10.8,%,473,51,15.00%,7.70%,441
887,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,35-44,All,Fairly active,15.1,%,479,72,20.40%,11.00%,405
888,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,12.9,%,33018,4255,13.40%,12.40%,33400
889,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,12.5,%,26890,3371,13.10%,12.00%,27986
890,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,13.6,%,1477,201,16.00%,11.60%,1613
891,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,16.4,%,1741,285,20.00%,13.30%,1232
892,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,15.7,%,941,148,19.80%,12.30%,702
893,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,?,%,?,?,?,?,148
894,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,?,%,?,?,?,?,324
895,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,45-54,All,Fairly active,18.9,%,336,64,26.10%,13.30%,272
896,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,12.9,%,27010,3493,13.40%,12.50%,37130
897,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,12.9,%,23396,3010,13.40%,12.40%,33242
898,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,10.8,%,805,87,13.40%,8.60%,1122
899,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,14,%,1016,143,17.70%,11.00%,778
900,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,12.9,%,517,66,18.30%,8.90%,405
901,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,?,%,?,?,?,?,107
902,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,19.1,%,178,34,29.10%,11.90%,178
903,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,55-64,All,Fairly active,?,%,?,?,?,?,183
904,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,13.9,%,24263,3379,14.40%,13.50%,37073
905,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,13.8,%,22104,3046,14.20%,13.30%,34360
906,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,12.7,%,554,70,15.70%,10.10%,789
907,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,17.5,%,482,84,22.60%,13.30%,475
908,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,16.8,%,164,27,25.20%,10.80%,154
909,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,?,%,?,?,?,?,55
910,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,?,%,?,?,?,?,74
911,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,65-74,All,Fairly active,?,%,?,?,?,?,128
912,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,13.9,%,18917,2624,14.50%,13.30%,19306
913,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,14,%,16980,2373,14.60%,13.30%,17652
914,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,14.3,%,386,55,19.50%,10.30%,383
915,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,?,%,?,?,?,?,251
916,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,?,%,?,?,?,?,105
917,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,?,%,?,?,?,?,20
918,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,?,%,?,?,?,?,38
919,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,75+,All,Fairly active,?,%,?,?,?,?,50
920,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,12.2,%,68379,8322,12.40%,11.90%,95352
921,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,11.9,%,53826,6415,12.20%,11.60%,78896
922,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,11.6,%,4464,516,12.60%,10.60%,5773
923,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,14.4,%,4143,596,16.00%,12.90%,3866
924,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,15,%,1348,203,17.60%,12.70%,1366
925,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,14.1,%,574,81,17.90%,11.00%,591
926,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,10.6,%,1054,112,13.30%,8.40%,1046
927,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 1-2,Fairly active,14.4,%,674,97,18.10%,11.30%,696
928,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,13.8,%,46533,6444,14.30%,13.40%,45857
929,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,13.7,%,38078,5227,14.20%,13.30%,39668
930,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,12.3,%,2500,308,14.40%,10.50%,2078
931,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,15.4,%,2592,400,18.10%,13.10%,1484
932,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,16.9,%,954,162,21.60%,13.10%,572
933,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,?,%,?,?,?,?,185
934,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,11.6,%,549,63,16.00%,8.20%,381
935,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 3-5,Fairly active,12.5,%,337,42,18.30%,8.40%,249
936,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,12.5,%,28109,3518,13.20%,11.90%,18995
937,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,12.6,%,21832,2755,13.30%,11.90%,15792
938,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,11.6,%,1987,230,14.50%,9.10%,1085
939,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,12.3,%,1956,240,15.40%,9.70%,846
940,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,12.5,%,636,80,18.40%,8.40%,310
941,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,?,%,?,?,?,?,72
942,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,?,%,?,?,?,?,181
943,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 6-7,Fairly active,?,%,?,?,?,?,153
944,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,12.9,%,7465,966,14.40%,11.60%,4095
945,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,12.9,%,4574,588,14.70%,11.20%,2718
946,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,?,%,?,?,?,?,178
947,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,13.8,%,1312,181,17.80%,10.60%,570
948,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,?,%,?,?,?,?,169
949,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,?,%,?,?,?,?,33
950,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,?,%,?,?,?,?,86
951,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 8,Fairly active,?,%,?,?,?,?,114
952,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,9.8,%,25220,2466,10.50%,9.10%,13030
953,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,8.5,%,15798,1350,9.30%,7.80%,8708
954,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,9.2,%,1407,130,12.30%,6.80%,692
955,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,14.2,%,3323,471,16.90%,11.80%,1223
956,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,13.2,%,1192,157,17.70%,9.70%,474
957,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,?,%,?,?,?,?,160
958,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,10,%,934,93,15.10%,6.50%,346
959,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16-74,NS SEC 9,Fairly active,?,%,?,?,?,?,213
960,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,61.8,%,194622,120320,62.10%,61.50%,196635
961,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,62.9,%,151090,95001,63.20%,62.60%,163434
962,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,65.3,%,11058,7217,66.60%,63.90%,10189
963,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,54,%,13713,7409,55.50%,52.50%,8240
964,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,55.4,%,4621,2562,58.00%,52.90%,2996
965,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,56.3,%,1502,845,60.50%,51.90%,1061
966,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,71.3,%,3174,2263,73.90%,68.50%,2078
967,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,All,16+,All,Physically active,56.6,%,2195,1242,60.20%,52.90%,1475
968,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,64.2,%,94839,60868,64.60%,63.70%,86635
969,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,65.1,%,72836,47448,65.60%,64.60%,72217
970,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,66.8,%,5304,3543,68.80%,64.70%,4054
971,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,58.3,%,7611,4438,60.50%,56.10%,3945
972,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,58.9,%,2082,1226,62.80%,54.90%,1178
973,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,58.9,%,749,441,65.30%,52.10%,420
974,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,71.4,%,1508,1078,75.60%,66.90%,797
975,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Male,16+,All,Physically active,60.8,%,1020,621,66.30%,55.10%,629
976,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,59.7,%,99472,59340,60.10%,59.30%,109741
977,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,60.8,%,78120,47510,61.20%,60.40%,91093
978,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,63.9,%,5743,3671,65.60%,62.20%,6128
979,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,48.7,%,6082,2960,50.70%,46.60%,4284
980,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,52.7,%,2526,1331,56.00%,49.40%,1809
981,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,53.7,%,753,404,59.10%,48.20%,640
982,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,71.1,%,1663,1183,74.30%,67.70%,1280
983,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,England,Country,Female,16+,All,Physically active,52.8,%,619,619,57.40%,48.10%,843
984,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,60.2,%,16767,10097,61.10%,59.30%,22176
985,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,61.5,%,13895,8546,62.40%,60.60%,19152
986,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,55.8,%,672,375,60.40%,51.20%,821
987,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,55.2,%,1067,590,59.70%,50.70%,872
988,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,54.5,%,214,117,63.10%,45.60%,261
989,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,55.3,%,92,51,70.10%,39.50%,77
990,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,63.6,%,186,119,73.00%,53.10%,189
991,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East Midlands,Region,All,16+,All,Physically active,42.9,%,87,37,55.80%,30.80%,97
992,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,62,%,21559,13372,62.80%,61.20%,25806
993,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,62.1,%,17865,11092,62.90%,61.20%,21846
994,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,64.3,%,1176,756,67.50%,60.90%,1432
995,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,61.2,%,855,523,65.70%,56.60%,761
996,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,65.2,%,398,259,71.40%,58.40%,352
997,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,63.7,%,105,67,74.50%,51.30%,114
998,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,71.1,%,271,193,77.70%,63.50%,243
999,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,East,Region,All,16+,All,Physically active,59.2,%,174,103,70.00%,47.50%,148
1000,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,62.3,%,30407,18940,63.20%,61.30%,19497
1001,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,66.9,%,13469,9008,68.10%,65.60%,10250
1002,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,66.1,%,4156,2748,68.50%,63.60%,2845
1003,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,53.7,%,5382,2892,56.40%,51.00%,2363
1004,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,54.1,%,2620,1417,57.70%,50.40%,1302
1005,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2016/17,Financial year,London,Region,All,16+,All,Physically active,55.2,%,692,383,62.20%,48.10%,346
